Model1,Model2,statistic,pvalue_raw
DT_HDBSCAN_COS,XGB_HDBSCAN_NN,131.0,2.03326075031052e-05
DT_HDBSCAN_COS,XGB_HDBSCAN_COS,164.0,6.577670115450493e-05
DT_HDBSCAN_COS,XGB_KM_SCAN_NN,326.5,0.015813452143829176
DT_HDBSCAN_COS,XGB_KM_SCAN_COS,266.5,0.00011969460898503351
DT_HDBSCAN_COS,XGB_KM_SCAN_COS_MAHA,214.5,2.946182941259043e-05
DT_HDBSCAN_COS,XGBRF,335.0,0.003428202373674395
DT_HDBSCAN_COS,XGBRF_KM_C,160.0,5.6732912004607825e-05
DT_HDBSCAN_COS,XGBRF_KM_NN,228.5,0.0004316725762694206
DT_HDBSCAN_COS,XGBRF_KM_COS,192.0,0.00044071128864431054
DT_HDBSCAN_COS,XGBRF_KM_COS_MAHA,199.5,0.0006520709204879488
DT_HDBSCAN_COS,XGBRF_HDBSCAN_NN,239.0,0.020072072303880355
DT_HDBSCAN_COS,XGBRF_HDBSCAN_COS,290.5,0.00037121126427064165
DT_HDBSCAN_COS,XGBRF_KM_SCAN_NN,288.0,4.609197827278108e-05
DT_HDBSCAN_COS,XGBRF_KM_SCAN_COS,310.5,0.00609837944530403
DT_HDBSCAN_COS,XGBRF_KM_SCAN_COS_MAHA,171.0,0.00023873527973120303
DT_KM_SCAN_NN,DT_KM_SCAN_COS,22.0,3.835260014434683e-05
DT_KM_SCAN_NN,DT_KM_SCAN_COS_MAHA,39.0,0.00867608758399228
DT_KM_SCAN_NN,RF,167.0,1.6605123227944852e-10
DT_KM_SCAN_NN,RF_KM_C,56.5,2.35619110311867e-05
DT_KM_SCAN_NN,RF_KM_NN,21.5,8.001829447464323e-05
DT_KM_SCAN_NN,RF_KM_COS,21.0,7.529157583002778e-05
DT_KM_SCAN_NN,RF_KM_COS_MAHA,28.0,2.51135830050042e-06
DT_KM_SCAN_NN,RF_HDBSCAN_NN,288.5,2.7477928049417028e-06
DT_KM_SCAN_NN,RF_HDBSCAN_COS,257.5,3.909316070946995e-05
DT_KM_SCAN_NN,RF_KM_SCAN_NN,270.0,0.004291699936956007
DT_KM_SCAN_NN,RF_KM_SCAN_COS,279.5,0.0037241719222977174
DT_KM_SCAN_NN,RF_KM_SCAN_COS_MAHA,22.5,1.6404483071318137e-05
DT_KM_SCAN_NN,XGB,269.0,8.48238496010176e-06
DT_KM_SCAN_NN,XGB_KM_C,22.5,2.906911434245006e-08
DT_KM_SCAN_NN,XGB_KM_NN,266.5,0.0019807111926964335
DT_KM_SCAN_NN,XGB_KM_COS,124.5,0.00023121353563814497
DT_KM_SCAN_NN,XGB_KM_COS_MAHA,111.0,6.923487120111316e-06
DT_KM_SCAN_NN,XGB_HDBSCAN_NN,44.0,9.921004579142202e-08
DT_KM_SCAN_NN,XGB_HDBSCAN_COS,95.0,1.5351563767749639e-06
DT_KM_SCAN_NN,XGB_KM_SCAN_NN,212.5,0.0011740360132065954
DT_KM_SCAN_NN,XGB_KM_SCAN_COS,170.0,2.855995890623238e-06
DT_KM_SCAN_NN,XGB_KM_SCAN_COS_MAHA,113.5,7.101312972810568e-07
DT_KM_SCAN_NN,XGBRF,284.5,0.0010811964470956075
DT_KM_SCAN_NN,XGBRF_KM_C,156.0,1.5365984976987744e-06
DT_KM_SCAN_NN,XGBRF_KM_NN,219.5,3.0069670701066022e-05
DT_KM_SCAN_NN,XGBRF_KM_COS,153.0,2.071441586251588e-05
DT_KM_SCAN_NN,XGBRF_KM_COS_MAHA,199.0,7.16423244336308e-05
DT_KM_SCAN_NN,XGBRF_HDBSCAN_NN,160.5,0.0011855294554067048
DT_KM_SCAN_NN,XGBRF_HDBSCAN_COS,120.0,5.172873468347308e-06
DT_KM_SCAN_NN,XGBRF_KM_SCAN_NN,119.5,1.2081071732292465e-06
DT_KM_SCAN_NN,XGBRF_KM_SCAN_COS,223.0,0.0003838823414239492
DT_KM_SCAN_NN,XGBRF_KM_SCAN_COS_MAHA,181.5,7.632164925233043e-06
DT_KM_SCAN_COS,DT_KM_SCAN_COS_MAHA,144.0,0.036664862930658806
DT_KM_SCAN_COS,RF,505.5,2.425413526837349e-07
DT_KM_SCAN_COS,RF_KM_C,307.5,0.4978181890614155
DT_KM_SCAN_COS,RF_KM_NN,239.5,0.8644112341979777
DT_KM_SCAN_COS,RF_KM_COS,235.5,0.8017066545105186
DT_KM_SCAN_COS,RF_KM_COS_MAHA,290.0,0.34061818597730287
DT_KM_SCAN_COS,RF_HDBSCAN_NN,557.0,0.018804533351682785
DT_KM_SCAN_COS,RF_HDBSCAN_COS,560.0,0.16209930591763932
DT_KM_SCAN_COS,RF_KM_SCAN_NN,600.5,0.4063460006988736
DT_KM_SCAN_COS,RF_KM_SCAN_COS,744.0,0.6504019858237235
DT_KM_SCAN_COS,RF_KM_SCAN_COS_MAHA,224.0,0.3004965523741542
DT_KM_SCAN_COS,XGB,783.0,0.038941836266667085
DT_KM_SCAN_COS,XGB_KM_C,419.5,0.033560534925220945
DT_KM_SCAN_COS,XGB_KM_NN,584.0,0.6006145595676845
DT_KM_SCAN_COS,XGB_KM_COS,607.0,0.9555078431629845
DT_KM_SCAN_COS,XGB_KM_COS_MAHA,507.0,0.2009549131689029
DT_KM_SCAN_COS,XGB_HDBSCAN_NN,412.5,0.103253859052817
DT_KM_SCAN_COS,XGB_HDBSCAN_COS,653.5,0.15877715843685614
DT_KM_SCAN_COS,XGB_KM_SCAN_NN,609.0,0.9716806188725653
DT_KM_SCAN_COS,XGB_KM_SCAN_COS,613.5,0.17966562399711705
DT_KM_SCAN_COS,XGB_KM_SCAN_COS_MAHA,552.0,0.06406990840789906
DT_KM_SCAN_COS,XGBRF,805.0,0.22762837337092323
DT_KM_SCAN_COS,XGBRF_KM_C,394.5,0.15770371824721052
DT_KM_SCAN_COS,XGBRF_KM_NN,466.0,0.4071186835855324
DT_KM_SCAN_COS,XGBRF_KM_COS,362.5,0.5165601911114057
DT_KM_SCAN_COS,XGBRF_KM_COS_MAHA,388.0,0.7640328208516475
DT_KM_SCAN_COS,XGBRF_HDBSCAN_NN,595.5,0.6818058942635656
DT_KM_SCAN_COS,XGBRF_HDBSCAN_COS,598.5,0.20735209655060338
DT_KM_SCAN_COS,XGBRF_KM_SCAN_NN,628.5,0.033122930714961085
DT_KM_SCAN_COS,XGBRF_KM_SCAN_COS,672.0,0.69626144249835
DT_KM_SCAN_COS,XGBRF_KM_SCAN_COS_MAHA,406.5,0.5659994622796816
DT_KM_SCAN_COS_MAHA,RF,302.5,7.3954116724942444e-09
DT_KM_SCAN_COS_MAHA,RF_KM_C,180.0,0.024672473429153977
DT_KM_SCAN_COS_MAHA,RF_KM_NN,117.0,0.12581428292429309
DT_KM_SCAN_COS_MAHA,RF_KM_COS,97.5,0.12361040236823521
DT_KM_SCAN_COS_MAHA,RF_KM_COS_MAHA,173.0,0.009670749620709587
DT_KM_SCAN_COS_MAHA,RF_HDBSCAN_NN,497.5,0.0018781639213707783
DT_KM_SCAN_COS_MAHA,RF_HDBSCAN_COS,450.0,0.010950201371157
DT_KM_SCAN_COS_MAHA,RF_KM_SCAN_NN,580.5,0.3132950631007876
DT_KM_SCAN_COS_MAHA,RF_KM_SCAN_COS,544.0,0.25630187443800123
DT_KM_SCAN_COS_MAHA,RF_KM_SCAN_COS_MAHA,78.0,0.00331498807064915
DT_KM_SCAN_COS_MAHA,XGB,493.0,0.0011092400402227497
DT_KM_SCAN_COS_MAHA,XGB_KM_C,162.0,0.0004219543661511215
DT_KM_SCAN_COS_MAHA,XGB_KM_NN,366.5,0.18825200912297668
DT_KM_SCAN_COS_MAHA,XGB_KM_COS,330.0,0.11751624753395619
DT_KM_SCAN_COS_MAHA,XGB_KM_COS_MAHA,251.0,0.006373243702920354
DT_KM_SCAN_COS_MAHA,XGB_HDBSCAN_NN,239.0,0.002229330722635017
DT_KM_SCAN_COS_MAHA,XGB_HDBSCAN_COS,387.5,0.007697542055642028
DT_KM_SCAN_COS_MAHA,XGB_KM_SCAN_NN,314.5,0.12192706029465943
DT_KM_SCAN_COS_MAHA,XGB_KM_SCAN_COS,370.0,0.004602966454625476
DT_KM_SCAN_COS_MAHA,XGB_KM_SCAN_COS_MAHA,395.0,0.003826755320683094
DT_KM_SCAN_COS_MAHA,XGBRF,454.5,0.03241038657653228
DT_KM_SCAN_COS_MAHA,XGBRF_KM_C,264.0,0.0018767535731742913
DT_KM_SCAN_COS_MAHA,XGBRF_KM_NN,324.5,0.016168473493646564
DT_KM_SCAN_COS_MAHA,XGBRF_KM_COS,282.0,0.018614352743714535
DT_KM_SCAN_COS_MAHA,XGBRF_KM_COS_MAHA,332.0,0.03177444323470323
DT_KM_SCAN_COS_MAHA,XGBRF_HDBSCAN_NN,420.0,0.26451610478375986
DT_KM_SCAN_COS_MAHA,XGBRF_HDBSCAN_COS,361.0,0.006671618202966343
DT_KM_SCAN_COS_MAHA,XGBRF_KM_SCAN_NN,305.5,0.00042008117065147
DT_KM_SCAN_COS_MAHA,XGBRF_KM_SCAN_COS,419.5,0.07628413637952225
DT_KM_SCAN_COS_MAHA,XGBRF_KM_SCAN_COS_MAHA,286.0,0.020205435939923792
RF,RF_KM_C,639.0,5.137976691403894e-07
RF,RF_KM_NN,402.0,2.2170229655163937e-08
RF,RF_KM_COS,374.0,9.636626267524206e-09
RF,RF_KM_COS_MAHA,571.0,2.793798692442613e-07
RF,RF_HDBSCAN_NN,1152.0,0.0007862922877060295
RF,RF_HDBSCAN_COS,924.0,4.508675129578742e-05
RF,RF_KM_SCAN_NN,536.0,6.752813823693227e-08
RF,RF_KM_SCAN_COS,602.0,1.254308700140977e-07
RF,RF_KM_SCAN_COS_MAHA,442.5,4.2518334582532706e-08
RF,XGB,279.5,8.986544147939618e-05
RF,XGB_KM_C,690.5,4.783776765790867e-06
RF,XGB_KM_NN,543.0,2.3132401470348684e-07
RF,XGB_KM_COS,594.5,5.007170733957554e-07
RF,XGB_KM_COS_MAHA,884.5,3.5151831942220486e-05
RF,XGB_HDBSCAN_NN,790.0,2.446111100771166e-05
RF,XGB_HDBSCAN_COS,869.5,4.361297121955786e-05
RF,XGB_KM_SCAN_NN,521.5,1.3061569601135203e-07
RF,XGB_KM_SCAN_COS,803.0,6.898337707080047e-06
RF,XGB_KM_SCAN_COS_MAHA,873.0,1.7013450170046383e-05
RF,XGBRF,229.5,1.2786509314654867e-05
RF,XGBRF_KM_C,791.5,5.439936066020723e-06
RF,XGBRF_KM_NN,694.0,6.518795579410273e-07
RF,XGBRF_KM_COS,755.5,1.514112285774498e-06
