Dataset,Model,Metric,Best Score,Mean Score,Best Params
DT_KM_SCAN_COS_MAHA,XGBRF,roc_auc,0.9973333333333333,0.9965555555555555,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 80, 'max_depth': 8}"
RF,DT,precision,0.9833333333333334,0.9708333333333334,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 4}"
RF,DT,accuracy,0.9744736842105264,0.9669736842105263,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 4}"
RF,DT,f1-score,0.9373376623376624,0.9206709956709958,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 4}"
RF,DT,roc_auc,0.9656666666666667,0.9586666666666666,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 4}"
RF,RF,precision,0.93,0.92125,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
RF,RF,accuracy,0.9444736842105262,0.9380263157894738,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
RF,RF,f1-score,0.8701154401154401,0.8512463924963927,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
RF,RF,roc_auc,0.9873333333333333,0.985375,"{'random_state': 0, 'n_estimators': 80, 'min_samples_leaf': 1, 'max_depth': 12}"
RF,XGB,precision,0.9666666666666668,0.9516666666666669,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
RF,XGB,accuracy,0.9794736842105264,0.9716447368421054,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
RF,XGB,f1-score,0.9532467532467532,0.9326118326118327,"{'subsample': 1, 'max_depth': 8, 'learning_rate': 0.1}"
RF,XGB,roc_auc,0.9960000000000001,0.9948333333333335,"{'subsample': 0.7, 'max_depth': 8, 'learning_rate': 0.1}"
RF,XGBRF,precision,0.9466666666666669,0.9458333333333334,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
RF,XGBRF,accuracy,0.9689473684210528,0.9676973684210528,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
RF,XGBRF,f1-score,0.9230880230880232,0.9203607503607505,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
RF,XGBRF,roc_auc,0.9960000000000001,0.99475,"{'subsample': 0.7, 'random_state': 0, 'n_estimators': 40, 'max_depth': 8}"
RF_KM_C,DT,precision,0.99375,0.9883928571428572,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
RF_KM_C,DT,accuracy,0.9833333333333334,0.9808333333333333,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
RF_KM_C,DT,f1-score,0.982734784681392,0.9803333068488796,"{'random_state': 0, 'min_samples_leaf': 1, 'max_depth': 8}"
RF_KM_C,DT,roc_auc,0.9922222222222222,0.9862222222222222,"{'random_state': 0, 'min_samples_leaf': 2, 'max_depth': 8}"
